NPC:1 {
<id:526, Amount:1, Rarity:ALWAYS>
<id:199, Amount:1, Rarity:COMMON>
<id:19830, Amount:1, Rarity:COMMON>
<id:877, Amount:2, Rarity:COMMON>
<id:995, Amount:1, Rarity:COMMON>
<id:555, Amount:7, Rarity:UNCOMMON>
<id:557, Amount:4, Rarity:UNCOMMON>
<id:554, Amount:6, Rarity:UNCOMMON>
<id:558, Amount:9, Rarity:UNCOMMON>
<id:201, Amount:1, Rarity:UNCOMMON>
<id:203, Amount:1, Rarity:UNCOMMON>
<id:205, Amount:1, Rarity:UNCOMMON>
<id:207, Amount:1, Rarity:UNCOMMON>
<id:213, Amount:1, Rarity:UNCOMMON>
<id:209, Amount:1, Rarity:UNCOMMON>
<id:211, Amount:1, Rarity:UNCOMMON>
<id:882, Amount:7, Rarity:UNCOMMON>
<id:1203, Amount:1, Rarity:UNCOMMON>
<id:1438, Amount:1, Rarity:UNCOMMON>
<id:1440, Amount:1, Rarity:UNCOMMON>
<id:1965, Amount:1, Rarity:UNCOMMON>
<id:313, Amount:1, Rarity:UNCOMMON>
<id:436, Amount:1, Rarity:UNCOMMON>
<id:438, Amount:1, Rarity:UNCOMMON>
<id:562, Amount:2, Rarity:RARE>
<id:559, Amount:7, Rarity:RARE>
<id:215, Amount:1, Rarity:RARE>
<id:217, Amount:1, Rarity:RARE>
<id:2485, Amount:1, Rarity:RARE>
<id:1381, Amount:1, Rarity:RARE>
<id:526, Amount:1, Rarity:VERY_RARE>
}

NPC:2 {
<id:526, Amount:1, Rarity:ALWAYS>
<id:199, Amount:1, Rarity:COMMON>
<id:19830, Amount:1, Rarity:COMMON>
<id:877, Amount:2, Rarity:COMMON>
<id:995, Amount:1, Rarity:COMMON>
<id:555, Amount:7, Rarity:UNCOMMON>
<id:557, Amount:4, Rarity:UNCOMMON>
<id:554, Amount:6, Rarity:UNCOMMON>
<id:558, Amount:9, Rarity:UNCOMMON>
<id:201, Amount:1, Rarity:UNCOMMON>
<id:203, Amount:1, Rarity:UNCOMMON>
<id:205, Amount:1, Rarity:UNCOMMON>
<id:207, Amount:1, Rarity:UNCOMMON>
<id:213, Amount:1, Rarity:UNCOMMON>
<id:209, Amount:1, Rarity:UNCOMMON>
<id:211, Amount:1, Rarity:UNCOMMON>
<id:882, Amount:7, Rarity:UNCOMMON>
<id:1203, Amount:1, Rarity:UNCOMMON>
<id:1438, Amount:1, Rarity:UNCOMMON>
<id:1440, Amount:1, Rarity:UNCOMMON>
<id:1965, Amount:1, Rarity:UNCOMMON>
<id:313, Amount:1, Rarity:UNCOMMON>
<id:436, Amount:1, Rarity:UNCOMMON>
<id:438, Amount:1, Rarity:UNCOMMON>
<id:562, Amount:2, Rarity:RARE>
<id:559, Amount:7, Rarity:RARE>
<id:215, Amount:1, Rarity:RARE>
<id:217, Amount:1, Rarity:RARE>
<id:2485, Amount:1, Rarity:RARE>
<id:1381, Amount:1, Rarity:RARE>
<id:526, Amount:1, Rarity:VERY_RARE>
}

NPC:3 {
<id:526, Amount:1, Rarity:ALWAYS>
<id:199, Amount:1, Rarity:COMMON>
<id:19830, Amount:1, Rarity:COMMON>
<id:877, Amount:2, Rarity:COMMON>
<id:995, Amount:1, Rarity:COMMON>
<id:555, Amount:7, Rarity:UNCOMMON>
<id:557, Amount:4, Rarity:UNCOMMON>
<id:554, Amount:6, Rarity:UNCOMMON>
<id:558, Amount:9, Rarity:UNCOMMON>
<id:201, Amount:1, Rarity:UNCOMMON>
<id:203, Amount:1, Rarity:UNCOMMON>
<id:205, Amount:1, Rarity:UNCOMMON>
<id:207, Amount:1, Rarity:UNCOMMON>
<id:213, Amount:1, Rarity:UNCOMMON>
<id:209, Amount:1, Rarity:UNCOMMON>
<id:211, Amount:1, Rarity:UNCOMMON>
<id:882, Amount:7, Rarity:UNCOMMON>
<id:1203, Amount:1, Rarity:UNCOMMON>
<id:1438, Amount:1, Rarity:UNCOMMON>
