0 "General Store" {
<id:8007, amount:2126432612, price:5000, currency:coins>
<id:8008, amount:2126432612, price:5000, currency:coins>
<id:8009, amount:2126432612, price:5000, currency:coins>
<id:8010, amount:2126432612, price:5000, currency:coins>
<id:8011, amount:2126432612, price:5000, currency:coins>
<id:8012, amount:2126432612, price:5000, currency:coins>
<id:8013, amount:2126432612, price:5000, currency:coins>
<id:1925, amount:2126432612, price:1000, currency:coins>
<id:1933, amount:2126432612, price:1000, currency:coins>
<id:952, amount:2126432612, price:1000, currency:coins>
<id:18346, amount:2126432612, price:500000, currency:coins>
}

1 "Farming Supplies" {
<id:5341, amount:2126432612, price:2500, currency:coins>
<id:5343, amount:2126432612, price:2500, currency:coins>
<id:952, amount:2126432612, price:2500, currency:coins>
<id:5340, amount:2126432612, price:2500, currency:coins>
<id:6032, amount:2126432612, price:2500, currency:coins>
<id:6034, amount:2126432612, price:5000, currency:coins>
<id:6036, amount:2126432612, price:5000, currency:coins>
<id:5318, amount:2126432612, price:100, currency:coins>
<id:5319, amount:2126432612, price:300, currency:coins>
<id:5324, amount:2126432612, price:500, currency:coins>
<id:5322, amount:2126432612, price:700, currency:coins>
<id:5320, amount:2126432612, price:900, currency:coins>
<id:5323, amount:2126432612, price:1100, currency:coins>
<id:5321, amount:2126432612, price:1300, currency:coins>
<id:5291, amount:2126432612, price:500, currency:coins>
<id:5292, amount:2126432612, price:850, currency:coins>
<id:5293, amount:2126432612, price:1200, currency:coins>
<id:5294, amount:2126432612, price:1550, currency:coins>
<id:5295, amount:2126432612, price:1900, currency:coins>
<id:5296, amount:2126432612, price:2250, currency:coins>
<id:5297, amount:2126432612, price:2600, currency:coins>
<id:5298, amount:2126432612, price:2950, currency:coins>
<id:5299, amount:2126432612, price:3300, currency:coins>
<id:5300, amount:2126432612, price:3650, currency:coins>
<id:5301, amount:2126432612, price:4000, currency:coins>
<id:5302, amount:2126432612, price:4350, currency:coins>
<id:5303, amount:2126432612, price:4700, currency:coins>
<id:5304, amount:2126432612, price:5000, currency:coins>
}

2 "Vote Shop" {
<id:962, amount:2126432612, price:100, currency:vote>
<id:10344, amount:2126432612, price:35, currency:vote>
<id:10350, amount:2126432612, price:35, currency:vote>
<id:10348, amount:2126432612, price:35, currency:vote>
<id:10346, amount:2126432612, price:35, currency:vote>
<id:10352, amount:2126432612, price:35, currency:vote>
<id:10334, amount:2126432612, price:35, currency:vote>
<id:10330, amount:2126432612, price:35, currency:vote>
<id:10332, amount:2126432612, price:35, currency:vote>
<id:10336, amount:2126432612, price:35, currency:vote>
<id:10342, amount:2126432612, price:35, currency:vote>
<id:10338, amount:2126432612, price:35, currency:vote>
<id:10340, amount:2126432612, price:35, currency:vote>
<id:9005, amount:2126432612, price:5, currency:vote>
<id:9006, amount:2126432612, price:5, currency:vote>
<id:9472, amount:2126432612, price:5, currency:vote>
<id:7464, amount:2126432612, price:10, currency:vote>
<id:3486, amount:2126432612, price:10, currency:vote>
<id:3481, amount:2126432612, price:10, currency:vote>
<id:3483, amount:2126432612, price:10, currency:vote>
<id:3485, amount:2126432612, price:10, currency:vote>
<id:3488, amount:2126432612, price:10, currency:vote>
<id:6623, amount:2126432612, price:10, currency:vote>
<id:6617, amount:2126432612, price:10, currency:vote>
<id:6625, amount:2126432612, price:10, currency:vote>
<id:6627, amount:2126432612, price:10, currency:vote>
<id:6633, amount:2126432612, price:10, currency:vote>
}

3 "Donation Shop 1" {
<id:962, amount:2126432612, price:75, currency:donator>
<id:1053, amount:2126432612, price:75, currency:donator>
<id:1055, amount:2126432612, price:75, currency:donator>
<id:1057, amount:2126432612, price:75, currency:donator>
<id:1038, amount:2126432612, price:75, currency:donator>
<id:1040, amount:2126432612, price:75, currency:donator>
<id:1042, amount:2126432612, price:75, currency:donator>
<id:1044, amount:2126432612, price:75, currency:donator>
<id:1046, amount:2126432612, price:75, currency:donator>
<id:1048, amount:2126432612, price:75, currency:donator>
<id:1050, amount:2126432612, price:75, currency:donator>
<id:15084, amount:2126432612, price:25, currency:donator>
<id:299, amount:2126432612, price:1, currency:donator>
<id:23639, amount:2126432612, price:10, currency:donator>
<id:18349, amount:2126432612, price:20, currency:donator>
<id:18351, amount:2126432612, price:20, currency:donator>
<id:18353, amount:2126432612, price:20, currency:donator>
<id:18355, amount:2126432612, price:20, currency:donator>
<id:18357, amount:2126432612, price:20, currency:donator>
<id:18359, amount:2126432612, price:15, currency:donator>
<id:18361, amount:2126432612, price:15, currency:donator>
<id:18363, amount:2126432612, price:15, currency:donator>
<id:11694, amount:2126432612, price:25, currency:donator>
<id:14484, amount:2126432612, price:25, currency:donator>

<id:13738, amount:2126432612, price:15, currency:donator>
<id:13740, amount:2126432612, price:25, currency:donator>
<id:13742, amount:2126432612, price:20, currency:donator>

<id:20135, amount:2126432612, price:30, currency:donator>
<id:20139, amount:2126432612, price:30, currency:donator>
<id:20143, amount:2126432612, price:30, currency:donator>
<id:20147, amount:2126432612, price:30, currency:donator>
<id:20151, amount:2126432612, price:30, currency:donator>
<id:20155, amount:2126432612, price:30, currency:donator>
<id:20159, amount:2126432612, price:30, currency:donator>
<id:20163, amount:2126432612, price:30, currency:donator>
<id:20167, amount:2126432612, price:30, currency:donator>

}

4 "Skilling Supplies" {
<id:1349, amount:2126432612, price:1000, currency:coins>
<id:1355, amount:2126432612, price:1500, currency:coins>
<id:1357, amount:2126432612, price:10000, currency:coins>
<id:1359, amount:2126432612, price:20000, currency:coins>
<id:1267, amount:2126432612, price:1000, currency:coins>
<id:1273, amount:2126432612, price:1500, currency:coins>
<id:1271, amount:2126432612, price:10000, currency:coins>
<id:1275, amount:2126432612, price:20000, currency:coins>
<id:1778, amount:2126432612, price:650, currency:coins>
<id:2347, amount:2126432612, price:1000, currency:coins>
<id:1755, amount:2126432612, price:1000, currency:coins>
<id:1623, amount:2126432612, price:1000, currency:coins>
<id:1621, amount:2126432612, price:2000, currency:coins>
<id:1619, amount:2126432612, price:2500, currency:coins>
<id:1617, amount:2126432612, price:5000, currency:coins>
<id:1625, amount:2126432612, price:2000, currency:coins>
<id:1627, amount:2126432612, price:2000, currency:coins>
<id:1629, amount:2126432612, price:2000, currency:coins>
<id:228, amount:2126432612, price:50, currency:coins>
<id:1437, amount:2126432612, price:175, currency:coins>
<id:1733, amount:2126432612, price:10, currency:coins>
<id:1734, amount:2126432612, price:5, currency:coins>
<id:303, amount:2126432612, price:1k, currency:coins>
<id:309, amount:2126432612, price:2k, currency:coins>
<id:307, amount:2126432612, price:3k, currency:coins>
<id:301, amount:2126432612, price:5k, currency:coins>
<id:311, amount:2126432612, price:6k, currency:coins>
<id:313, amount:2126432612, price:500, currency:coins>
<id:314, amount:2126432612, price:750, currency:coins>
<id:946, amount:2126432612, price:500, currency:coins>
<id:1759, amount:2126432612, price:500, currency:coins>
<id:590, amount:2126432612, price:1000, currency:coins>
<id:233, amount:2126432612, price:2500, currency:coins>
<id:1592, amount:2126432612, price:2500, currency:coins>
<id:1597, amount:2126432612, price:2500, currency:coins>
<id:1595, amount:2126432612, price:2500, currency:coins>
}

5 "PvP Shop" {
<id:19784, amount:2126432612, price:1250, currency:pk>
<id:14484, amount:2126432612, price:1000, currency:pk>
<id:11694, amount:2126432612, price:900, currency:pk>
<id:11696, amount:2126432612, price:500, currency:pk>
<id:11698, amount:2126432612, price:500, currency:pk>
<id:11700, amount:2126432612, price:500, currency:pk>
<id:11724, amount:2126432612, price:350, currency:pk>
<id:11726, amount:2126432612, price:350, currency:pk>
<id:11235, amount:2126432612, price:300, currency:pk>
